종목명,종목코드
이글루,67920
이글벳,44960
이노뎁,303530
이노메트리,302430
이노테라피,246960
이니텍,53350
이라이콤,41520
이랜시스,264850
이루다,164060
이미지스,115610
이삭엔지니어링,351330
이스트소프트,47560
이엠넷,123570
이엠코리아,95190
이지바이오,353810
이지스레지던스리츠,350520
이지케어텍,99750
이크레더블,92130
이화공영,1840
인디에프,14990
인바이오젠,101140
인산가,277410
인성정보,33230
인스코비,6490
인지디스플레,37330
인지컨트롤스,23800
인천도시가스,34590
인크로스,216050
인터지스,129260
인팩,23810
인포바인,115310
인포뱅크,39290
인피니트헬스케어,71200
인화정공,101930
일동홀딩스,230
일성건설,13360
일승,333430
일신석재,7110
일진디스플,20760
일진파워,94820
일진홀딩스,15860
잉크테크,49550
자비스,254120
자연과환경,43910
자이글,234920
자이에스앤디,317400
전진바이오팜,110020
정다운,208140
정상제이엘에스,40420
제너셈,217190
제노레이,122310
제노코,361390
제노포커스,187420
제놀루션,225220
제로투세븐,159580
제룡산업,147830
제이스코홀딩스,23440
제이스텍,90470
제이씨케미칼,137950
제이씨현시스템,33320
제이엔비,452160
제이엔케이히터,126880
제이엠티,94970
제이티,89790
제일연마,1560
제일전기공업,199820
제일테크노스,38010
제일파마홀딩스,2620
젠큐릭스,229000
젬백스링크,64800
조광페인트,4910
조비,1550
조선선재,120030
조아제약,34940
조이시티,67000
조흥,2600
종근당바이오,63160
줌인터넷,239340
중앙백신,72020
중앙에너비스,440
중앙첨단소재,51980
지놈앤컴퍼니,314130
지니너스,389030
지니뮤직,43610
지니언스,263860
지아이텍,382480
지앤비에스 에코,382800
지어소프트,51160
지에스이,53050
지엔씨에너지,119850
지엘팜텍,204840
지엠비코리아,13870
지오엘리먼트,311320
진로발효,18120
진매트릭스,109820
진시스템,363250
진양산업,3780
진양제약,7370
진양폴리,10640
진양홀딩스,100250
진흥기업,2780
차백신연구소,261780
참좋은여행,94850
창해에탄올,4650
천일고속,650
청호ICT,12600
체리부로,66360
체시스,33250
카이노스메드,284620
캠시스,50110
컨버즈,109070
컴퍼니케이,307930
케어랩스,263700
케이비아이동국실업,1620
케이사인,192250
케이씨에스,115500
케이에스피,73010
케이엔더블유,105330
케이엔제이,272110
케이엘넷,39420
케이옥션,102370
케이프,64820
케이피에스,256940
케이피에프,24880
케이피엠테크,42040
케일럼,258610
켄코아에어로스페이스,274090
켐트로스,220260
코닉오토메이션,391710
코데즈컴바인,47770
코렌텍,104540
코리아나,27050
코리아에프티,123410
코메론,49430
코세스,89890
코센,9730
코스맥스비티아이,44820
코스맥스엔비티,222040
코스텍시스,355150
코아시아,45970
코아시아씨엠,196450
코콤,15710
코텍,52330
코퍼스코리아,322780
콤텍시스템,31820
퀀타매트릭스,317690
퀀타피아,78940
큐라클,365270
큐로컴,40350
큐에스아이,66310
큐캐피탈,16600
크라우드웍스,355390
크라운제과,264900
크라운해태홀딩스,5740
크레버스,96240
크리스에프앤씨,110790
크리스탈신소재,900250
클리노믹스,352770
키네마스터,139670
키이스트,54780
타이거일렉,219130
탑엔지니어링,65130
탑코미디어,134580
태경비케이,14580
태경산업,15890
태경케미컬,6890
태림포장,11280
태성,323280
태양,53620
태양금속,4100
태영건설,9410
태웅로직스,124560
태평양물산,7980
테고사이언스,191420
테라사이언스,73640
테라젠이텍스,66700
테이팩스,55490
테크엘,64520
텔레필드,91440
텔코웨어,78000
텔콘RF제약,200230
토니모리,214420
트루윈,105550
트윔,290090
특수건설,26150
티라유텍,322180
티비씨,33830
티사이언티픽,57680
티앤알바이오팹,246710
티에스넥스젠,43220
티에스아이,277880
티에이치엔,19180
티엔엔터테인먼트,131100
티케이케미칼,104480
티플랙스,81150
팅크웨어,84730
파라텍,33540
파멥신,208340
파수,150900
파워넷,37030
파이버프로,368770
파이오링크,170790
팜스빌,318010
팜스코,36580
팜스토리,27710
팜젠사이언스,4720
팬엔터테인먼트,68050
팬젠,222110
팸텍,271830
퍼스텍,10820
페이퍼코리아,1020
평화산업,90080
포시에스,189690
포인트엔지니어링,256630
폴라리스세원,234100
푸드나무,290720
푸른기술,94940
푸른저축은행,7330
풍국주정,23900
프로이천,321260
프롬바이오,377220
프리엠스,53160
플래스크,41590
플래티어,367000
플레이그램,9810
플레이디,237820
플리토,300080
피씨엘,241820
피에스텍,2230
피엔케이피부임상연구센타,347740
피제이메탈,128660
피제이전자,6140
피코그램,376180
피플바이오,304840
핌스,347770
핑거,163730
하이로닉,149980
하이소닉,106080
하이스틸,71090
하이텍팜,106190
하인크코리아,373200
하츠,66130
한국경제TV,39340
한국공항,5430
한국내화,10040
한국석유,4090
한국선재,25550
한국수출포장,2200
한국전자인증,41460
한국종합기술,23350
한국주철관,970
한국캐피탈,23760
한국컴퓨터,54040
한국특강,7280
한국화장품,123690
한국화장품제조,3350
한독,2390
한독크린텍,256150
한라IMS,92460
한빛소프트,47080
한성크린텍,66980
한세엠케이,69640
한세예스24홀딩스,16450
한솔로지스틱스,9180
한솔홀딩스,4150
한솔홈데코,25750
한스바이오메드,42520
한신공영,4960
한신기계,11700
한양증권,1750
한익스프레스,14130
한일단조,24740
한일사료,5860
한일철강,2220
한진중공업홀딩스,3480
한컴라이프케어,372910
한컴위드,54920
해성티피씨,59270
해태제과식품,101530
핸디소프트,220180
핸즈코퍼레이션,143210
헥토이노베이션,214180
현대공업,170030
현대리바트,79430
현대바이오랜드,52260
현대약품,4310
현대에버다임,41440
현대이지웰,90850
현대코퍼레이션홀딩스,227840
현우산업,92300
혜인,3010
호전실업,111110
홈센타홀딩스,60560
홈캐스트,64240
화성산업,2460
화승알앤에이,378850
화승인더,6060
화승코퍼레이션,13520
화신정공,126640
화인써키트,127980
화일약품,61250
화천기계,10660
화천기공,850
황금에스티,32560
효성ITX,94280
효성오앤비,97870
휴니드,5870
휴림에이텍,78590
휴맥스,115160
휴비스,79980
휴센텍,215090
흥구석유,24060
흥국,10240
흥국에프엔비,189980
흥국화재,540
희림,37440
힘스,238490
