종목코드,종목명
267290,경동도시가스
012320,경동인베스트
011040,경동제약
000050,경방
214390,경보제약
012610,경인양행
024910,경창산업
013580,계룡건설
002140,고려산업
049720,고려신용정보
002240,고려제강
014570,고려제약
348150,고바이오랩
950190,고스트스튜디오
215000,골프존
121440,골프존뉴딘홀딩스
009290,광동제약
017040,광명전기
029480,광무
017900,광전자
037710,광주신세계
030610,교보증권
339770,교촌에프앤비
053270,구영테크
007690,국도화학
066620,국보디자인
043650,국순당
307750,국전약품
002720,국제약품
035080,그래디언트
204020,그리티
083420,그린케미칼
186230,그린플러스
014530,극동유화
204620,글로벌텍스프리
014280,금강공업
053260,금강철강
008870,금비
002990,금호건설
214330,금호에이치티
036190,금화피에스시
049080,기가레인
092440,기신정기
013700,까뮤이앤씨
004540,깨끗한나라
286750,나노브릭
247660,나노씨엠에스
039860,나노엔텍
051490,나라엠앤디
190510,나무가
242040,나무기술
089600,나스미디어
293580,나우IB
138610,나이벡
130580,나이스디앤비
036800,나이스정보통신
267320,나인테크
001260,남광토건
008350,남선알미늄
004270,남성
003920,남양유업
025860,남해화학
111710,남화산업
091590,남화토건
168330,내츄럴엔도텍
253590,네오셈
212560,네오오토
095660,네오위즈
042420,네오위즈홀딩스
950220,네오이뮨텍
092730,네오팜
306620,네온테크
007390,네이처셀
033640,네패스
330860,네패스아크
005720,넥센
002350,넥센타이어
348210,넥스틴
225570,넥슨게임즈
217270,넵튠
104620,노랑풍선
090350,노루페인트
000320,노루홀딩스
194700,노바렉스
285490,노바텍
142280,녹십자엠에스
234690,녹십자웰빙
005250,녹십자홀딩스
072710,농심홀딩스
054050,농우바이오
270870,뉴트리
144960,뉴파워프라즈마
085670,뉴프렉스
064260,다날
340360,다보링크
039560,다산네트웍스
058730,다스코
030210,다올투자증권
023590,다우기술
032190,다우데이타
068240,다원시스
145210,다이나믹디자인
019680,대교
006370,대구백화점
008060,대덕
000490,대동
008830,대동기어
008110,대동전자
004780,대륙제관
005750,대림B&Co
017650,대림제지
007720,대명소노시즌
317850,대모
290670,대보마그네틱
078140,대봉엘에스
001680,대상
084690,대상홀딩스
128820,대성산업
117580,대성에너지
027830,대성창투
016710,대성홀딩스
003540,대신증권
045390,대아티아이
108380,대양전기공업
014160,대영포장
009320,대우부품
007680,대원
000430,대원강업
048910,대원미디어
005710,대원산업
006340,대원전선
003220,대원제약
024890,대원화성
120240,대정화금
003310,대주산업
012800,대창
015230,대창단조
096350,대창솔루션
010170,대한광통신
054670,대한뉴팜
023910,대한약품
006650,대한유화
084010,대한제강
001790,대한제당
001130,대한제분
005880,대한해운
003830,대한화섬
016090,대현
069460,대호에이엘
067080,대화제약
298540,더네이쳐홀딩스
192080,더블유게임즈
299170,더블유에스아이
012510,더존비즈온
317330,덕산테코피아
077360,덕산하이메탈
004830,덕성
090410,덕신하우징
024900,덕양산업
263600,덕우전자
194480,데브시스터즈
263800,데이타솔루션
206560,덱스터
261200,덴티스
067990,도이치모터스
002150,도화엔지니어링
006620,동구바이오제약
100130,동국S&C
005160,동국산업
075970,동국알앤에스
086450,동국제약
001230,동국홀딩스
023450,동남합성
004140,동방
007590,동방아그로
005960,동부건설
002210,동성제약
102260,동성케미컬
033500,동성화인텍
025950,동신건설
000640,동아쏘시오홀딩스
170900,동아에스티
088130,동아엘텍
028100,동아지질
282690,동아타이어
041930,동아화성
001520,동양
082640,동양생명
079960,동양이엔피
008970,동양철관
092780,동양피스톤
088910,동우팜투테이블
094170,동운아나텍
049770,동원F&B
013120,동원개발
018500,동원금속
163560,동일고무벨트
109860,동일금속
004890,동일산업
000020,동화약품
131970,두산테스나
016740,두올
203650,드림시큐리티
223250,드림씨아이에스
060570,드림어스컴퍼니
192650,드림텍
187870,디바이스이엔지
066670,디스플레이텍
024090,디씨엠
003160,디아이
092200,디아이씨
110990,디아이티
263690,디알젬
214680,디알텍
263720,디앤씨미디어
376300,디어유
109740,디에스케이
196490,디에이테크놀로지
066900,디에이피
092070,디엔에프
039840,디오
013570,디와이
210540,디와이파워
104460,디와이피엔에프
079810,디이엔티
068930,디지털대성
033130,디지틀조선
105740,디케이락
290550,디케이티
187220,디티앤씨
315640,딥노이드
042510,라온시큐어
232680,라온테크
418420,라온텍
300120,라온피플
171120,라이온켐텍
388790,라이콤
069540,라이트론
214260,라파스
115390,락앤락
200350,래몽래인
171010,램테크놀러지
084650,랩지노믹스
217500,러셀
038390,레드캡투어
294140,레몬
228670,레이
228850,레이언스
215100,로보로보
090360,로보스타
108490,로보티즈
071280,로체시스템즈
032350,롯데관광개발
000400,롯데손해보험
286940,롯데정보통신
071840,롯데하이마트
038060,루멘스
012700,리드코프
302550,리메드
073570,리튬포어스
377450,리파인
277070,린드먼아시아
042500,링네트
219420,링크제니시스
027740,마니커
377480,마음AI
305090,마이크로디지탈
098120,마이크로컨텍솔
038290,마크로젠
001080,만호제강
267980,매일유업
005990,매일홀딩스
093520,매커스
377030,맥스트
094800,맵스리얼티1
100590,머큐리
067280,멀티캠퍼스
072870,메가스터디
215200,메가스터디교육
235980,메드팩토
041920,메디아나
078160,메디포스트
408920,메쎄이상
021880,메이슨캐피탈
241770,메카로
059210,메타바이오메드
058110,멕아이씨에스
017180,명문제약
009900,명신산업
012690,모나리자
080420,모다이노칩
080160,모두투어
087260,모바일어플라이언스
101330,모베이스
012860,모베이스전자
363260,모비데이즈
348030,모비릭스
250060,모비스
009680,모토닉
118990,모트렉스
009580,무림P&P
009200,무림페이퍼
033920,무학
008420,문배철강
279600,미디어젠
095500,미래나노텍
025560,미래산업
218150,미래생명자원
100790,미래에셋벤처투자
085620,미래에셋생명
049950,미래컴퍼니
207760,미스터블루
002840,미원상사
268280,미원에스씨
107590,미원홀딩스
134380,미원화학
003650,미창석유
059090,미코
214610,미코바이오메드
201490,미투온
206640,바디텍메드
018700,바른손
053030,바이넥스
301300,바이브컴퍼니
064550,바이오니아
314930,바이오다인
086820,바이오솔루션
038460,바이오스마트
086040,바이오톡스텍
099430,바이오플러스
222160,바이옵트로
308080,바이젠셀
043150,바텍
323990,박셀바이오
003610,방림
267790,배럴
001340,백광산업
035150,백산
206400,베노티앤알
019010,베뉴지
007210,벽산
225530,보광산업
250000,보라티알
002760,보락
003850,보령
006910,보성파워텍
000890,보해양조
226340,본느
003000,부광약품
001270,부국증권
026940,부국철강
014470,부방
011390,부산산업
338220,뷰노
100120,뷰웍스
337930,브랜드엑스코퍼레이션
099390,브레인즈컴퍼니
064480,브리지텍
288330,브릿지바이오테라퓨틱스
251630,브이원텍
018290,브이티
369370,블리츠웨이
126340,비나텍
082800,비보존 제약
100220,비상교육
141000,비아트론
083650,비에이치아이
142760,비엘
086670,비엠티
335890,비올
138580,비즈니스온
082920,비츠로셀
042370,비츠로테크
307870,비투엔
357880,비트나인
032850,비트컴퓨터
093190,빅솔론
065450,빅텍
005180,빙그레
143240,사람인
003960,사조대림
008040,사조동아원
007160,사조산업
014710,사조씨푸드
006090,사조오양
122350,삼기
018310,삼목에스폼
053700,삼보모터스
023600,삼보판지
001470,삼부토건
006660,삼성공조
001360,삼성제약
068290,삼성출판사
009300,삼아제약
145990,삼양사
225190,삼양옵틱스
002170,삼양통상
272550,삼양패키징
000070,삼양홀딩스
003720,삼영
002810,삼영무역
005680,삼영전자
023000,삼원강재
004380,삼익THK
002450,삼익악기
000520,삼일제약
009770,삼정펄프
037460,삼지전자
005500,삼진제약
004690,삼천리
024950,삼천리자전거
038500,삼표시멘트
017480,삼현철강
010960,삼호개발
046390,삼화네트웍스
004450,삼화왕관
009470,삼화전기
011230,삼화전자
001820,삼화콘덴서
000390,삼화페인트
027580,상보
038540,상상인
001290,상상인증권
041650,상신브레이크
091580,상신이디피
263810,상신전자
089980,상아프론테크
042600,새로닉스
075180,새론오토모티브
252990,샘씨엔에스
007540,샘표
248170,샘표식품
294630,서남
038070,서린바이오
006730,서부T&D
007860,서연
200880,서연이화
017390,서울가스
092190,서울바이오시스
046890,서울반도체
004410,서울식품
063170,서울옥션
021050,서원
093920,서원인텍
178320,서진시스템
122690,서진오토모티브
140070,서플러스글로벌
011370,서한
065710,서호전기
008490,서흥
035890,서희건설
357550,석경에이티
003100,선광
171090,선익시스템
136490,선진
086710,선진뷰티사이언스
014620,성광벤드
037350,성도이엔지
004980,성신양회
011300,성안
015750,성우하이텍
000180,성창기업지주
043260,성호전자
148150,세경하이테크
004360,세방
004490,세방전지
011560,세보엠이씨
001430,세아베스틸지주
306200,세아제강
003030,세아제강지주
019440,세아특수강
058650,세아홀딩스
100700,세운메디칼
021820,세원정공
067830,세이브존I&C
033530,세종공업
258830,세종메디칼
036630,세종텔레콤
075580,세진중공업
053450,세코닉스
222810,세토피아
347000,센코
049180,셀루메드
299660,셀리드
108860,셀바스AI
208370,셀바스헬스케어
060230,소니드
950200,소마젠
032680,소프트센
066910,손오공
336370,솔루스첨단소재
035610,솔본
036830,솔브레인홀딩스
304100,솔트룩스
004430,송원산업
086980,쇼박스
050960,수산아이앤티
017550,수산중공업
084180,수성샐바시온
253840,수젠텍
298830,슈어소프트테크
236200,슈프리마
094840,슈프리마에이치큐
192440,슈피겐코리아
099440,스맥
053210,스카이라이프
026890,스틱인베스트먼트
203690,스피어파워
049830,승일
020710,시공테크
033170,시그네틱스
048870,시너지이노베이션
025320,시노펙스
016590,신대양제지
290520,신도기연
029530,신도리코
004970,신라교역
215600,신라젠
011930,신성이엔지
005390,신성통상
035510,신세계 I&C
031430,신세계인터내셔날
031440,신세계푸드
006880,신송홀딩스
162300,신스틸
002800,신신제약
005800,신영와코루
001720,신영증권
009270,신원
002700,신일전자
012790,신일제약
226330,신테카바이오
019170,신풍제약
056700,신화인터텍
004080,신흥
243840,신흥에스이씨
257720,실리콘투
036710,심텍홀딩스
160980,싸이맥스
217330,싸이토젠
102280,쌍방울
004770,써니전자
222420,쎄노텍
099320,쎄트렉아이
049960,쎌바이오텍
050890,쏠리드
109670,씨싸이트
066790,씨씨에스
222080,씨아이에스
004920,씨아이테크
352480,씨앤씨인터내셔널
264660,씨앤지하이테크
352700,씨앤투스
297090,씨에스베어링
359090,씨엔알리서치
376290,씨유테크
189330,씨이랩
060590,씨티씨바이오
308170,씨티알모빌리티
260930,씨티케이
013990,아가방컴퍼니
123860,아나패스
025980,아난티
008700,아남전자
125210,아모그린텍
357580,아모센스
052710,아모텍
074430,아미노로직스
092040,아미코젠
083930,아바코
149950,아바텍
036010,아비코전자
002030,아세아
183190,아세아시멘트
002310,아세아제지
012170,아센디오
246720,아스타
067390,아스트
159010,아스플로
267850,아시아나IDT
020560,아시아나항공
227610,아우딘퓨쳐스
143160,아이디스
054800,아이디스홀딩스
122900,아이마켓코리아
339950,아이비김영
099190,아이센스
214430,아이쓰리시스템
040910,아이씨디
010780,아이에스동서
069920,아이에스이커머스
038880,아이에이
307180,아이엘사이언스
185490,아이진
175250,아이큐어
119830,아이텍
124500,아이티센
084850,아이티엠반도체
114840,아이패밀리에스씨
027360,아주IB투자
139990,아주스틸
013310,아진산업
059120,아진엑스텍
158430,아톤
067160,아프리카TV
001540,안국약품
053800,안랩
065660,안트로젠
001780,알루코
260660,알리코제약
361570,알비더블유
131370,알서포트
140670,알에스오토메이션
096610,알에프세미
061040,알에프텍
347860,알체라
291650,압타머사이언스
293780,압타바이오
018250,애경산업
161000,애경케미칼
196300,애니젠
310200,애니플러스
900100,애머릿지
205500,액션스퀘어
052790,액토즈소프트
290740,액트로
238090,앤디포스
174900,앱클론
255440,야스
030960,양지사
102120,어보브반도체
019990,에너토크
270660,에브리봇
038680,에스넷
042110,에스씨디
298060,에스씨엠생명과학
260970,에스앤디
101490,에스앤에스텍
031330,에스에이엠티
060540,에스에이티
080000,에스엔유
010580,에스엠벡셀
007820,에스엠코어
109610,에스와이
306040,에스제이그룹
096630,에스코넥
069510,에스텍
041910,에스텍파마
234300,에스트래픽
039440,에스티아이
052020,에스티큐브
288620,에스퓨얼셀
317830,에스피시스템스
058610,에스피지
043340,에쎈테크
298690,에어부산
200710,에이디테크놀로지
096690,에이루트
078520,에이블씨엔씨
203400,에이비온
195990,에이비프로바이오
003800,에이스침대
088800,에이스테크
241840,에이스토리
015260,에이엔피
072990,에이치시티
239610,에이치엘사이언스
357230,에이치피오
071670,에이테크솔루션
045660,에이텍
224110,에이텍모빌리티
021080,에이티넘인베스트
200470,에이팩트
262260,에이프로
007460,에이프로젠
003060,에이프로젠바이오로직스
244920,에이플러스에셋
089970,에이피티씨
230240,에치에프알
230360,에코마케팅
038870,에코바이오
097780,에코볼트
101360,에코앤드림
128540,에코캡
038110,에코플라스틱
064850,에프앤가이드
036810,에프에스티
173940,에프엔씨엔터
083500,에프엔에스테크
950130,엑세스바이오
205100,엑셈
356680,엑스게이트
317770,엑스페릭스
092870,엑시콘
317870,엔바이오니아
067570,엔브이에이치코리아
236810,엔비티
333620,엔시스
265740,엔에프씨
354200,엔젠바이오
183490,엔지켐생명과학
085310,엔케이
182400,엔케이맥스
227950,엔투텍
291230,엔피
900140,엘브이엠씨홀딩스
290650,엘앤씨바이오
156100,엘앤케이바이오
073110,엘엠에스
083310,엘오티베큠
037950,엘컴텍
170920,엘티씨
058630,엠게임
058970,엠로
019590,엠벤처투자
097520,엠씨넥스
179290,엠아이텍
009780,엠에스씨
123040,엠에스오토텍
323230,엠에프엠코리아
033160,엠케이전자
347890,엠투아이
033310,엠투엔
259630,엠플러스
060850,영림원소프트랩
014440,영보화학
003520,영진약품
000670,영풍
036560,영풍정밀
006740,영풍제지
265560,영화테크
053280,예스24
015360,예스코홀딩스
122640,예스티
039830,오로라
322310,오로스테크놀로지
046120,오르비텍
014940,오리엔탈정공
002630,오리엔트바이오
001800,오리온홀딩스
010470,오리콤
352910,오비고
053980,오상자이엘
052420,오성첨단소재
241790,오션브릿지
039200,오스코텍
226400,오스테오닉
138080,오이솔루션
080580,오킨스전자
067170,오텍
353590,오토앤
173130,오파스넷
049480,오픈베이스
309930,오하임앤컴퍼니
226950,올릭스
131030,옵투스제약
082210,옵트론텍
153710,옵티팜
321820,와이더플래닛
122990,와이솔
112290,와이씨켐
232140,와이아이케이
065530,와이어블
067900,와이엔텍
155650,와이엠씨
273640,와이엠텍
251370,와이엠티
273060,와이즈버즈
019210,와이지-원
122870,와이지엔터테인먼트
011690,와이투솔루션
332570,와이팜
070960,용평리조트
403490,우듬지팜
032820,우리기술
041190,우리기술투자
115440,우리넷
046970,우리로
082850,우리바이오
215360,우리산업
072470,우리산업홀딩스
073560,우리손에프앤지
101170,우림피티에스
006980,우성
066590,우수AMS
017370,우신시스템
103840,우양
065680,우주일렉트로
105840,우진
049800,우진플라임
016880,웅진
095720,웅진씽크빅
307280,원바이오젠
032940,원익
074600,원익QnC
104830,원익머트리얼즈
014190,원익큐브
217820,원익피앤이
030530,원익홀딩스
382840,원준
336570,원텍
376980,원티드랩
101160,월덱스
336060,웨이버스
095270,웨이브일렉트로
010600,웰바이오텍
065950,웰크론
076080,웰크론한텍
069080,웹젠
053580,웹케시
044340,위닉스
330350,위더스제약
348350,위드텍
101730,위메이드맥스
123420,위메이드플레이
299900,위지윅스튜디오
036090,위지트
136540,윈스
097800,윈팩
033270,유나이티드제약
014830,유니드
036200,유니셈
018000,유니슨
000910,유니온
047400,유니온머티리얼
011330,유니켐
077500,유니퀘스트
011320,유니크
086390,유니테스트
241690,유니테크노
142210,유니트론텍
048430,유라테크
206650,유바이오로직스
089850,유비벨록스
032620,유비케어
264450,유비쿼스
078070,유비쿼스홀딩스
002920,유성기업
024800,유성티엔에스
000700,유수홀딩스
054930,유신
049520,유아이엘
003470,유안타증권
263770,유에스티
000220,유유제약
340930,유일에너테크
023410,유진기업
056080,유진로봇
084370,유진테크
001200,유진투자증권
179900,유티아이
263050,유틸렉스
003460,유화증권
008730,율촌화학
072770,율호
008250,이건산업
039020,이건홀딩스
025820,이구산업
067920,이글루
044960,이글벳
303530,이노뎁
302430,이노메트리
214320,이노션
073490,이노와이어리스
246960,이노테라피
088390,이녹스
272290,이녹스첨단소재
053350,이니텍
041520,이라이콤
264850,이랜시스
054210,이랜텍
164060,이루다
088260,이리츠코크렙
115610,이미지스
078020,이베스트투자증권
131400,이브이첨단소재
351330,이삭엔지니어링
086890,이수앱지스
005950,이수화학
047560,이스트소프트
093230,이아이디
102710,이엔에프테크놀로지
074610,이엔플러스
123570,이엠넷
095190,이엠코리아
091120,이엠텍
102460,이연제약
084680,이월드
353810,이지바이오
099750,이지케어텍
035810,이지홀딩스
092130,이크레더블
096040,이트론
001840,이화공영
014990,인디에프
041830,인바디
101140,인바이오젠
277410,인산가
060150,인선이엔티
033230,인성정보
006490,인스코비
037330,인지디스플레
023800,인지컨트롤스
034590,인천도시가스
216050,인크로스
049070,인탑스
119610,인터로조
129260,인터지스
051370,인터플렉스
064290,인텍플러스
189300,인텔리안테크
048530,인트론바이오
023810,인팩
115310,인포바인
039290,인포뱅크
071200,인피니트헬스케어
101930,인화정공
249420,일동제약
000230,일동홀딩스
013360,일성건설
003120,일성신약
333430,일승
003200,일신방직
007110,일신석재
007570,일양약품
081000,일진다이아
020760,일진디스플
103590,일진전기
094820,일진파워
271940,일진하이솔루스
015860,일진홀딩스
226320,잇츠한불
950140,잉글우드랩
049550,잉크테크
254120,자비스
043910,자연과환경
234920,자이글
289220,자이언트스텝
317400,자이에스앤디
033240,자화전자
110020,전진바이오팜
208140,정다운
040420,정상제이엘에스
217190,제너셈
095700,제넥신
122310,제노레이
361390,제노코
187420,제노포커스
225220,제놀루션
159580,제로투세븐
147830,제룡산업
033100,제룡전기
079370,제우스
054950,제이브이엠
023440,제이스코홀딩스
090470,제이스텍
287410,제이시스메디칼
137950,제이씨케미칼
033320,제이씨현시스템
204270,제이앤티씨
194370,제이에스코퍼레이션
452160,제이엔비
126880,제이엔케이히터
322510,제이엘케이
094970,제이엠티
089790,제이티
271980,제일약품
001560,제일연마
199820,제일전기공업
038010,제일테크노스
002620,제일파마홀딩스
080220,제주반도체
006220,제주은행
089590,제주항공
216080,제테마
229000,젠큐릭스
082270,젬백스
064800,젬백스링크
004910,조광페인트
004700,조광피혁
001550,조비
120030,조선선재
034940,조아제약
067000,조이시티
018470,조일알미늄
002600,조흥
063160,종근당바이오
001630,종근당홀딩스
239340,줌인터넷
072020,중앙백신
000440,중앙에너비스
051980,중앙첨단소재
228760,지노믹트리
314130,지놈앤컴퍼니
013890,지누스
389030,지니너스
043610,지니뮤직
263860,지니언스
144510,지씨셀
382480,지아이텍
382800,지앤비에스 에코
051160,지어소프트
053050,지에스이
119850,지엔씨에너지
204840,지엘팜텍
013870,지엠비코리아
071320,지역난방공사
270520,지오릿에너지
311320,지오엘리먼트
018120,진로발효
109820,진매트릭스
036890,진성티이씨
363250,진시스템
003780,진양산업
007370,진양제약
010640,진양폴리
100250,진양홀딩스
272450,진에어
011000,진원생명과학
002780,진흥기업
261780,차백신연구소
094850,참좋은여행
004650,창해에탄올
000650,천일고속
012600,청호ICT
066360,체리부로
033250,체시스
094360,칩스앤미디어
016790,카나리아바이오
284620,카이노스메드
042000,카페24
050110,캠시스
119860,커넥트웨이브
109070,컨버즈
078340,컴투스
063080,컴투스홀딩스
307930,컴퍼니케이
263700,케어랩스
001620,케이비아이동국실업
192250,케이사인
029460,케이씨
115500,케이씨에스
281820,케이씨텍
093320,케이아이엔엑스
093640,케이알엠
073010,케이에스피
105330,케이엔더블유
053080,케이엔솔
272110,케이엔제이
039420,케이엘넷
032500,케이엠더블유
102370,케이옥션
381970,케이카
036030,케이티알파
064820,케이프
256940,케이피에스
024880,케이피에프
042040,케이피엠테크
258610,케일럼
274090,켄코아에어로스페이스
089010,켐트로닉스
220260,켐트로스
052400,코나아이
391710,코닉오토메이션
047770,코데즈컴바인
104540,코렌텍
027050,코리아나
007810,코리아써키트
123410,코리아에프티
049430,코메론
183300,코미코
041960,코미팜
089890,코세스
009730,코센
044820,코스맥스비티아이
222040,코스맥스엔비티
241710,코스메카코리아
355150,코스텍시스
166480,코아스템켐온
045970,코아시아
196450,코아시아씨엠
384470,코어라인소프트
029960,코엔텍
002020,코오롱
003070,코오롱글로벌
102940,코오롱생명과학
138490,코오롱플라스틱
033290,코웰패션
282880,코윈테크
015710,코콤
052330,코텍
322780,코퍼스코리아
036420,콘텐트리중앙
200130,콜마비앤에이치
031820,콤텍시스템
294570,쿠콘
192400,쿠쿠홀딩스
284740,쿠쿠홈시스
317690,퀀타매트릭스
078940,퀀타피아
365270,큐라클
060280,큐렉소
040350,큐로컴
182360,큐브엔터
066310,큐에스아이
016600,큐캐피탈
355390,크라우드웍스
264900,크라운제과
005740,크라운해태홀딩스
096240,크레버스
110790,크리스에프앤씨
900250,크리스탈신소재
352770,클리노믹스
237880,클리오
139670,키네마스터
020120,키다리스튜디오
054780,키이스트
219130,타이거일렉
065130,탑엔지니어링
134580,탑코미디어
014580,태경비케이
015890,태경산업
006890,태경케미컬
023160,태광
003240,태광산업
011280,태림포장
323280,태성
053620,태양
004100,태양금속
009410,태영건설
044490,태웅
124560,태웅로직스
007980,태평양물산
191420,테고사이언스
073640,테라사이언스
066700,테라젠이텍스
095610,테스
055490,테이팩스
064520,테크엘
089030,테크윙
054450,텔레칩스
091440,텔레필드
078000,텔코웨어
200230,텔콘RF제약
214420,토니모리
051360,토비스
108230,톱텍
199800,툴젠
105550,트루윈
290090,트윔
026150,특수건설
322180,티라유텍
117730,티로보틱스
033830,티비씨
057680,티사이언티픽
246710,티앤알바이오팹
340570,티앤엘
043220,티에스넥스젠
277880,티에스아이
131290,티에스이
019180,티에이치엔
131100,티엔엔터테인먼트
356860,티엘비
363280,티와이홀딩스
321550,티움바이오
091810,티웨이항공
104480,티케이케미칼
081150,티플랙스
084730,팅크웨어
033540,파라텍
208340,파멥신
005690,파미셀
037070,파세코
150900,파수
037030,파워넷
047310,파워로직스
368770,파이버프로
170790,파이오링크
091700,파트론
318010,팜스빌
036580,팜스코
027710,팜스토리
004720,팜젠사이언스
068050,팬엔터테인먼트
222110,팬젠
271830,팸텍
010820,퍼스텍
016800,퍼시스
251970,펌텍코리아
001020,페이퍼코리아
087010,펩트론
090080,평화산업
058430,포스코스틸리온
189690,포시에스
256630,포인트엔지니어링
234100,폴라리스세원
041020,폴라리스오피스
290720,푸드나무
094940,푸른기술
007330,푸른저축은행
017810,풀무원
023900,풍국주정
005810,풍산홀딩스
220100,퓨쳐켐
334970,프레스티지바이오로직스
950210,프레스티지바이오파마
321260,프로이천
053610,프로텍
377220,프롬바이오
053160,프리엠스
041590,플래스크
367000,플래티어
009810,플레이그램
237820,플레이디
300080,플리토
241820,피씨엘
319660,피에스케이
031980,피에스케이홀딩스
002230,피에스텍
043370,피에이치에이
239890,피엔에이치테크
347740,피엔케이피부임상연구센타
128660,피제이메탈
006140,피제이전자
376180,피코그램
304840,피플바이오
161580,필옵틱스
347770,핌스
163730,핑거
299030,하나기술
166090,하나머티리얼즈
293480,하나제약
039130,하나투어
136480,하림
003380,하림지주
101670,하이드로리튬
365590,하이딥
149980,하이로닉
013030,하이록코리아
126700,하이비젼시스템
106080,하이소닉
071090,하이스틸
106190,하이텍팜
000140,하이트진로홀딩스
373200,하인크코리아
066130,하츠
039340,한국경제TV
005430,한국공항
034950,한국기업평가
010040,한국내화
025540,한국단자
010100,한국무브넥스
256840,한국비엔씨
004090,한국석유
025550,한국선재
002200,한국수출포장
002960,한국쉘석유
017890,한국알콜
123890,한국자산신탁
063570,한국전자금융
041460,한국전자인증
053300,한국정보인증
025770,한국정보통신
027970,한국제지
023350,한국종합기술
000970,한국주철관
104700,한국철강
017960,한국카본
023760,한국캐피탈
054040,한국컴퓨터
024720,한국콜마홀딩스
034830,한국토지신탁
007280,한국특강
032300,한국파마
123690,한국화장품
003350,한국화장품제조
030520,한글과컴퓨터
011500,한농화성
002390,한독
256150,한독크린텍
092460,한라IMS
053690,한미글로벌
047080,한빛소프트
020000,한섬
066980,한성크린텍
105630,한세실업
069640,한세엠케이
016450,한세예스24홀딩스
009180,한솔로지스틱스
114810,한솔아이원스
213500,한솔제지
004710,한솔테크닉스
004150,한솔홀딩스
025750,한솔홈데코
042520,한스바이오메드
004960,한신공영
011700,한신기계
078350,한양디지텍
045100,한양이엔지
001750,한양증권
014130,한익스프레스
024740,한일단조
005860,한일사료
300720,한일시멘트
002220,한일철강
006390,한일현대시멘트
003300,한일홀딩스
130660,한전산업
002320,한진
003480,한진중공업홀딩스
372910,한컴라이프케어
054920,한컴위드
000370,한화손해보험
003530,한화투자증권
195870,해성디에스
034810,해성산업
059270,해성티피씨
101530,해태제과식품
220180,핸디소프트
143210,핸즈코퍼레이션
214180,헥토이노베이션
234340,헥토파이낸셜
